match_id,date,home_team,away_team,year,is_2026,home_avg_age,away_avg_age,diff_avg_age,home_min_age,away_min_age,diff_min_age,home_max_age,away_max_age,diff_max_age,home_peak_age_count,away_peak_age_count,diff_peak_age_count,home_squad_size,away_squad_size,diff_squad_size,home_avg_caps,away_avg_caps,diff_avg_caps,home_total_caps,away_total_caps,diff_total_caps,home_max_caps,away_max_caps,diff_max_caps,home_total_national_goals,away_total_national_goals,diff_total_national_goals,home_avg_national_goals,away_avg_national_goals,diff_avg_national_goals,home_top_league_count,away_top_league_count,diff_top_league_count,home_top_league_ratio,away_top_league_ratio,diff_top_league_ratio,home_avg_height_cm,away_avg_height_cm,diff_avg_height_cm,home_avg_weight_kg,away_avg_weight_kg,diff_avg_weight_kg,home_gk_count,away_gk_count,diff_gk_count,home_def_count,away_def_count,diff_def_count,home_mid_count,away_mid_count,diff_mid_count,home_fwd_count,away_fwd_count,diff_fwd_count,home_total_goals_scored,away_total_goals_scored,diff_total_goals_scored,home_avg_goals_scored,away_avg_goals_scored,diff_avg_goals_scored,home_top_scorer_goals,away_top_scorer_goals,diff_top_scorer_goals,home_fifa_rank,away_fifa_rank,diff_fifa_rank,home_fifa_points,away_fifa_points,diff_fifa_points,is_neutral_venue,is_knockout,stage_encoded,home_rest_days,away_rest_days,diff_rest_days,home_score,away_score,total_goals,result
537405,2026-06-23,Portugal,Uzbekistan,2026,1,27.53846153846154,27.96153846153846,-0.4230769230769198,21.0,18.0,3.0,41.0,35.0,6.0,15.0,12.0,3.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,17.0,1.0,16.0,0.8095238095238095,0.038461538461538464,0.7710622710622711,,,,,,,3.0,3.0,0.0,9.0,10.0,-1.0,6.0,10.0,-4.0,8.0,3.0,5.0,,,,,,,,,,6.0,69.0,-63.0,1750.0,1270.0,480.0,1,0,0,6.0,5.0,1.0,,,,
537411,2026-06-23,England,Ghana,2026,1,26.615384615384617,26.423076923076923,0.1923076923076934,21.0,20.0,1.0,35.0,34.0,1.0,11.0,13.0,-2.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,25.0,17.0,8.0,0.9615384615384616,0.68,0.2815384615384615,,,,,,,3.0,3.0,0.0,9.0,9.0,0.0,6.0,6.0,0.0,8.0,8.0,0.0,,,,,,,,,,3.0,25.0,-22.0,1794.0,1530.0,264.0,1,0,0,6.0,6.0,0.0,,,,
537412,2026-06-23,Panama,Croatia,2026,1,30.0,27.884615384615383,2.1153846153846168,24.0,19.0,5.0,38.0,40.0,-2.0,13.0,14.0,-1.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1.0,18.0,-17.0,0.043478260869565216,0.6923076923076923,-0.6488294314381271,,,,,,,3.0,3.0,0.0,10.0,7.0,3.0,9.0,10.0,-1.0,4.0,6.0,-2.0,,,,,,,,,,73.0,,,1240.0,,,1,0,0,6.0,6.0,0.0,,,,
537344,2026-06-24,Morocco,Haiti,2026,1,25.884615384615383,27.076923076923077,-1.1923076923076934,18.0,20.0,-2.0,37.0,38.0,-1.0,12.0,18.0,-6.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,16.0,8.0,8.0,0.6666666666666666,0.42105263157894735,0.24561403508771928,,,,,,,3.0,3.0,0.0,9.0,8.0,1.0,7.0,6.0,1.0,7.0,9.0,-2.0,,,,,,,,,,12.0,85.0,-73.0,1685.0,1180.0,505.0,1,0,0,5.0,4.0,1.0,,,,
537338,2026-06-24,Bosnia-Herzegovina,Qatar,2026,1,26.384615384615383,28.923076923076923,-2.53846153846154,18.0,19.0,-1.0,40.0,36.0,4.0,13.0,11.0,2.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,11.0,1.0,10.0,0.4583333333333333,0.038461538461538464,0.4198717948717948,,,,,,,3.0,3.0,0.0,8.0,9.0,-1.0,10.0,5.0,5.0,5.0,9.0,-4.0,,,,,,,,,,,37.0,,,1440.0,,1,0,0,6.0,6.0,0.0,,,,
537343,2026-06-24,Scotland,Brazil,2026,1,28.96153846153846,28.653846153846153,0.3076923076923066,20.0,19.0,1.0,43.0,38.0,5.0,12.0,12.0,0.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,15.0,14.0,1.0,0.5769230769230769,0.5384615384615384,0.038461538461538436,,,,,,,3.0,3.0,0.0,10.0,9.0,1.0,8.0,5.0,3.0,5.0,9.0,-4.0,,,,,,,,,,30.0,4.0,26.0,1490.0,1782.0,-292.0,1,0,0,5.0,4.0,1.0,,,,
537406,2026-06-24,Colombia,Congo DR,2026,1,29.615384615384617,28.307692307692307,1.3076923076923102,22.0,21.0,1.0,37.0,35.0,2.0,12.0,14.0,-2.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,9.0,13.0,-4.0,0.375,0.5416666666666666,-0.16666666666666663,,,,,,,3.0,3.0,0.0,8.0,9.0,-1.0,10.0,9.0,1.0,5.0,5.0,0.0,,,,,,,,,,11.0,,,1697.0,,,1,0,0,6.0,7.0,-1.0,,,,
537337,2026-06-24,Switzerland,Canada,2026,1,27.807692307692307,25.8125,1.9951923076923066,20.0,20.0,0.0,34.0,33.0,1.0,14.0,16.0,-2.0,26.0,32.0,-6.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,24.0,14.0,10.0,1.0,0.5384615384615384,0.46153846153846156,,,,,,,3.0,3.0,0.0,8.0,12.0,-4.0,9.0,11.0,-2.0,6.0,6.0,0.0,,,,,,,,,,15.0,19.0,-4.0,1641.0,1595.0,46.0,1,0,0,6.0,6.0,0.0,,,,
537331,2026-06-25,Czechia,Mexico,2026,1,27.23076923076923,27.5,-0.26923076923077005,18.0,17.0,1.0,35.0,40.0,-5.0,12.0,13.0,-1.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,7.0,5.0,2.0,0.28,0.2,0.08000000000000002,,,,,,,3.0,3.0,0.0,9.0,7.0,2.0,7.0,8.0,-1.0,7.0,8.0,-1.0,,,,,,,,,,,16.0,,,1629.0,,1,0,0,7.0,6.0,1.0,,,,
537332,2026-06-25,South Africa,South Korea,2026,1,26.384615384615383,27.653846153846153,-1.26923076923077,20.0,22.0,-2.0,36.0,35.0,1.0,11.0,15.0,-4.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,2.0,7.0,-5.0,0.08,0.28,-0.2,,,,,,,3.0,3.0,0.0,11.0,10.0,1.0,4.0,10.0,-6.0,8.0,3.0,5.0,,,,,,,,,,60.0,18.0,42.0,1310.0,1607.0,-297.0,1,0,0,7.0,6.0,1.0,,,,
