team,win_prob,simulations
Colombia,5.5,1000
Germany,4.6,1000
Mexico,4.5,1000
Egypt,4.2,1000
Paraguay,3.8,1000
Norway,3.6,1000
Uruguay,3.6,1000
Netherlands,2.9,1000
Cape Verde,2.8,1000
Morocco,2.7,1000
Spain,2.7,1000
Bosnia and Herzegovina,2.7,1000
Argentina,2.6,1000
Japan,2.6,1000
IR Iran,2.6,1000
Curacao,2.5,1000
Austria,2.5,1000
Congo DR,2.4,1000
South Korea,2.4,1000
United States,2.3,1000
Canada,2.3,1000
England,2.2,1000
Switzerland,2.2,1000
Ivory Coast,2.2,1000
Ghana,2.2,1000
Croatia,2.1,1000
Ecuador,2.1,1000
Algeria,2.0,1000
France,1.9,1000
New Zealand,1.8,1000
Scotland,1.8,1000
Portugal,1.6,1000
Panama,1.5,1000
Brazil,1.5,1000
Australia,1.4,1000
Sweden,1.4,1000
Qatar,1.2,1000
Belgium,1.2,1000
Uzbekistan,0.9,1000
Senegal,0.9,1000
Czechia,0.7,1000
Saudi Arabia,0.7,1000
South Africa,0.3,1000
Iraq,0.2,1000
Jordan,0.2,1000
Haiti,0.0,1000
Tunisia,0.0,1000
Turkey,0.0,1000
