team,avg_age,min_age,max_age,peak_age_count,squad_size,avg_caps,total_caps,max_caps,total_national_goals,avg_national_goals,top_league_count,top_league_ratio,avg_height_cm,avg_weight_kg,gk_count,def_count,mid_count,fwd_count,year,total_goals_scored,avg_goals_scored,top_scorer_goals
Algeria,26.46153846153846,20,35,15,26,,0.0,,0.0,,13.0,0.5652173913043478,,,3,9,7,7,2026,,,
Argentina,28.615384615384617,21,38,14,26,,0.0,,0.0,,20.0,0.8,,,3,8,8,7,2026,,,
Australia,26.884615384615383,18,35,9,26,,0.0,,0.0,,9.0,0.42857142857142855,,,3,10,5,8,2026,,,
Austria,28.115384615384617,20,37,16,26,,0.0,,0.0,,18.0,0.72,,,3,9,11,3,2026,,,
Belgium,27.115384615384617,20,37,9,26,,0.0,,0.0,,20.0,0.9523809523809523,,,3,9,6,8,2026,,,
Bosnia-Herzegovina,26.384615384615383,18,40,13,26,,0.0,,0.0,,11.0,0.4583333333333333,,,3,8,10,5,2026,,,
Brazil,28.653846153846153,19,38,12,26,,0.0,,0.0,,14.0,0.5384615384615384,,,3,9,5,9,2026,,,
Canada,25.8125,20,33,16,32,,0.0,,0.0,,14.0,0.5384615384615384,,,3,12,11,6,2026,,,
Cape Verde Islands,29.192307692307693,22,40,13,26,,0.0,,0.0,,1.0,0.05263157894736842,,,3,9,6,8,2026,,,
Colombia,29.615384615384617,22,37,12,26,,0.0,,0.0,,9.0,0.375,,,3,8,10,5,2026,,,
Congo DR,28.307692307692307,21,35,14,26,,0.0,,0.0,,13.0,0.5416666666666666,,,3,9,9,5,2026,,,
Croatia,27.884615384615383,19,40,14,26,,0.0,,0.0,,18.0,0.6923076923076923,,,3,7,10,6,2026,,,
Curaçao,27.53846153846154,22,37,14,26,,0.0,,0.0,,3.0,0.125,,,3,8,7,8,2026,,,
Czechia,27.23076923076923,18,35,12,26,,0.0,,0.0,,7.0,0.28,,,3,9,7,7,2026,,,
Ecuador,25.576923076923077,19,39,15,26,,0.0,,0.0,,7.0,0.3181818181818182,,,3,8,8,7,2026,,,
Egypt,28.692307692307693,18,39,13,26,,0.0,,0.0,,5.0,0.19230769230769232,,,4,8,7,7,2026,,,
England,26.615384615384617,21,35,11,26,,0.0,,0.0,,25.0,0.9615384615384616,,,3,9,6,8,2026,,,
France,26.576923076923077,20,35,14,26,,0.0,,0.0,,24.0,0.9230769230769231,,,3,9,5,9,2026,,,
Germany,27.53846153846154,18,40,12,26,,0.0,,0.0,,25.0,0.9615384615384616,,,3,7,12,4,2026,,,
Ghana,26.423076923076923,20,34,13,26,,0.0,,0.0,,17.0,0.68,,,3,9,6,8,2026,,,
Haiti,27.076923076923077,20,38,18,26,,0.0,,0.0,,8.0,0.42105263157894735,,,3,8,6,9,2026,,,
Iran,29.807692307692307,20,37,8,26,,0.0,,0.0,,0.0,0.0,,,3,9,8,6,2026,,,
Iraq,26.653846153846153,22,35,13,26,,0.0,,0.0,,2.0,0.07692307692307693,,,3,9,7,7,2026,,,
Ivory Coast,25.192307692307693,19,34,13,26,,0.0,,0.0,,13.0,0.65,,,3,8,6,9,2026,,,
Japan,27.192307692307693,21,39,18,26,,0.0,,0.0,,13.0,0.5652173913043478,,,3,9,8,6,2026,,,
Jordan,28.076923076923077,20,34,11,26,,0.0,,0.0,,1.0,0.038461538461538464,,,3,9,7,7,2026,,,
Mexico,27.5,17,40,13,26,,0.0,,0.0,,5.0,0.2,,,3,7,8,8,2026,,,
Morocco,25.884615384615383,18,37,12,26,,0.0,,0.0,,16.0,0.6666666666666666,,,3,9,7,7,2026,,,
Netherlands,27.26923076923077,20,35,16,26,,0.0,,0.0,,22.0,0.8461538461538461,,,3,8,8,7,2026,,,
New Zealand,27.615384615384617,21,37,12,26,,0.0,,0.0,,7.0,0.2916666666666667,,,3,9,10,4,2026,,,
Norway,26.346153846153847,21,35,17,26,,0.0,,0.0,,19.0,0.7916666666666666,,,3,9,11,3,2026,,,
Panama,30.0,24,38,13,26,,0.0,,0.0,,1.0,0.043478260869565216,,,3,10,9,4,2026,,,
Paraguay,28.53846153846154,20,38,11,26,,0.0,,0.0,,5.0,0.2,,,3,8,9,6,2026,,,
Portugal,27.53846153846154,21,41,15,26,,0.0,,0.0,,17.0,0.8095238095238095,,,3,9,6,8,2026,,,
Qatar,28.923076923076923,19,36,11,26,,0.0,,0.0,,1.0,0.038461538461538464,,,3,9,5,9,2026,,,
Saudi Arabia,27.96153846153846,22,35,15,26,,0.0,,0.0,,1.0,0.038461538461538464,,,3,10,6,7,2026,,,
Scotland,28.96153846153846,20,43,12,26,,0.0,,0.0,,15.0,0.5769230769230769,,,3,10,8,5,2026,,,
Senegal,26.615384615384617,18,36,8,26,,0.0,,0.0,,20.0,0.7692307692307693,,,3,8,7,8,2026,,,
South Africa,26.384615384615383,20,36,11,26,,0.0,,0.0,,2.0,0.08,,,3,11,4,8,2026,,,
South Korea,27.653846153846153,22,35,15,26,,0.0,,0.0,,7.0,0.28,,,3,10,10,3,2026,,,
Spain,26.192307692307693,18,33,12,26,,0.0,,0.0,,26.0,1.0,,,3,8,7,8,2026,,,
Sweden,26.923076923076923,20,36,17,26,,0.0,,0.0,,18.0,0.782608695652174,,,3,10,6,7,2026,,,
Switzerland,27.807692307692307,20,34,14,26,,0.0,,0.0,,24.0,1.0,,,3,8,9,6,2026,,,
Tunisia,26.153846153846153,18,32,11,26,,0.0,,0.0,,9.0,0.4090909090909091,,,3,9,7,7,2026,,,
Turkey,27.23076923076923,20,37,14,26,,0.0,,0.0,,9.0,0.36,,,3,9,5,9,2026,,,
United States,26.423076923076923,21,38,18,26,,0.0,,0.0,,14.0,0.56,,,3,10,6,7,2026,,,
Uruguay,28.192307692307693,24,39,20,26,,0.0,,0.0,,8.0,0.3333333333333333,,,3,7,11,5,2026,,,
Uzbekistan,27.96153846153846,18,35,12,26,,0.0,,0.0,,1.0,0.038461538461538464,,,3,10,10,3,2026,,,
Argentina,27.76923076923077,21,36,12,26,,,,,,22.0,0.88,,,3,9,8,6,2022,16.0,0.6153846153846154,7.0
Australia,27.153846153846153,18,37,13,26,,,,,,5.0,0.2777777777777778,,,3,9,6,8,2022,3.0,0.11538461538461539,1.0
Belgium,27.807692307692307,19,35,9,26,,,,,,19.0,0.7307692307692307,,,3,6,8,9,2022,1.0,0.038461538461538464,1.0
Brazil,27.884615384615383,21,39,13,26,,,,,,22.0,0.8461538461538461,,,3,8,6,9,2022,8.0,0.3076923076923077,3.0
Cameroon,26.307692307692307,19,33,16,26,,,,,,11.0,0.55,,,3,8,8,7,2022,4.0,0.15384615384615385,2.0
Canada,26.923076923076923,20,39,15,26,,,,,,4.0,0.21052631578947367,,,3,7,10,6,2022,1.0,0.038461538461538464,1.0
